Fine-Tuning,M1,M2,M3,MHu2,MHd2,signmu,Mq2ii,Ml2ii,Mu2ii,Md2ii,Me2ii,Mq233,Ml233,Mu233,Md233,Me233,Tu33,Td33,Te33,tanb
863.401674,-476.074219,2567.87109,1323.48633,3783691.41,4394.53125,-1,3588134.77,4686767.58,388916.016,2608154.3,3970458.98,8066162.11,366943.359,7415771.48,990966.797,2256591.8,314.941406,-476.074219,868.652344,21.2207031
815.53416,145.019531,1454.58984,1528.56445,5928222.66,3203613.28,-1,160400.391,4915283.2,3008056.64,1535888.67,4585693.36,2810302.73,1333740.23,3671630.86,2801513.67,3223388.67,-188.964844,145.019531,-1650.87891,11.4550781
770.691448,-979.980469,-1920.41016,1716.06445,4803222.66,6578613.28,-1,4097900.39,8852783.2,5820556.64,2098388.67,5148193.36,4497802.73,4146240.23,859130.859,6739013.67,1535888.67,936.035156,-979.980469,974.121094,18.9550781
972.720826,104.003906,-625.488281,740.478516,1199707.03,6877441.41,-1,5337158.2,2551025.39,1012939.45,3900146.48,2221435.55,7442138.67,5860107.42,2836669.92,3267333.98,6114990.23,1457.51953,104.003906,921.386719,31.0253906
602.629067,713.378906,-16.1132812,1185.79102,5277832.03,6174316.41,-1,5688720.7,230712.891,6286376.95,1861083.98,3557373.05,8918701.17,2977294.92,3750732.42,6572021.48,6607177.73,-183.105469,713.378906,218.261719,39.4628906
592.618977,-974.121094,-953.613281,1467.04102,5840332.03,8986816.41,-1,4844970.7,7824462.89,3192626.95,1579833.98,4401123.05,6387451.17,7196044.92,6281982.42,1790771.48,5200927.73,754.394531,-974.121094,1155.76172,15.7128906
342.635853,-224.121094,2796.38672,342.041016,3590332.03,2236816.41,-1,8219970.7,4449462.89,8817626.95,2704833.98,1026123.05,5262451.17,6071044.92,7406982.42,2915771.48,6325927.73,-1495.60547,-224.121094,405.761719,40.7128906
404.77412,221.191406,-2148.92578,377.197266,-1261230.47,4697753.91,-1,872314.453,4273681.64,7235595.7,5130615.23,1131591.8,375732.422,1324951.17,5614013.67,3583740.23,3900146.48,-1331.54297,221.191406,-461.425781,22.7441406
358.088138,-1466.30859,-2711.42578,658.447266,-698730.469,7510253.91,-1,1716064.45,5679931.64,1329345.7,4849365.23,1975341.8,2344482.42,6668701.17,2520263.67,8364990.23,2493896.48,730.957031,-1466.30859,-1023.92578,41.4941406
344.94867,-1516.11328,-2312.98828,334.716797,3687011.72,7940917.97,1,1078857.42,5974365.23,529541.016,6022705.08,3614501.95,4849365.23,951416.016,7969482.42,4616455.08,6022705.08,-1516.11328,590.332031,-684.082031,45.4199219
426.984275,889.160156,-2746.58203,301.025391,2570800.78,4521972.66,-1,4264892.58,5697509.77,1909423.83,3214599.61,903076.172,744873.047,7776123.05,7811279.3,1245849.61,929443.359,2078.61328,889.160156,558.105469,31.8847656
963.71895,-1079.58984,-1902.83203,1941.65039,1727050.78,8178222.66,-1,7218017.58,2744384.77,8800048.83,3636474.61,5824951.17,1166748.05,1166748.05,1201904.3,823974.609,7257568.36,1047.36328,-1079.58984,1214.35547,30.0097656
894.789464,-282.714844,-1949.70703,1777.58789,2992675.78,8600097.66,-1,6866455.08,283447.266,8307861.33,3003662.11,5332763.67,3065185.55,4330810.55,7319091.8,8206787.11,5640380.86,62.9882812,-282.714844,-2488.76953,47.8222656
439.886785,662.841797,2882.08008,601.68457,-1311767.58,6629150.39,-1,4419799.8,6612670.9,8168334.96,5155883.79,1805053.71,207641.602,3463989.26,5971069.34,8979125.98,4657104.49,752.197266,662.841797,2997.80273,43.0615234
557.855963,-1024.6582,1944.58008,507.93457,-749267.578,8316650.39,-1,3013549.8,3518920.9,12084.9609,4874633.79,1523803.71,2738891.6,8807739.26,4002319.34,4197875.98,6063354.49,-185.302734,-1024.6582,1685.30273,21.8115234
